# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	WORDINSOURCE	COUNTERPART	IPA	COGID
596	Nidzh_Udi	fire	28	ar-uχ {арух}	арух	ar-uχ	125
597	Vartashen_Udi	fire	28	ar-uχ {арух}	арух	ar-uχ	125
598	Archi	fire	28	ocʼ	ocʼ	ocʼ	125
599	Kryts_proper	fire	28	cʼä	cʼä	cʼä	125
600	Alyk_Kryts	fire	28	cʼa	cʼa	cʼa	125
601	Budukh	fire	28	cʼe ~ cʼa {цIе ~ цIа}	цIе ~ цIа	cʼe ~ cʼa	125
602	Mishlesh_Tsakhur	fire	28	cʼa {цIа}	цIа	cʼa	125
603	Mikik_Tsakhur	fire	28	cʼa	cʼa	cʼa	125
604	Gelmets_Tsakhur	fire	28	cʼa	cʼa	cʼa	125
605	Mukhad_Rutul	fire	28	cʼay {цIай}	цIай	cʼay	125
606	Ixrek_Rutul	fire	28	cʼä {цIаь}	цIаь	cʼä	125
607	Luchek_Rutul	fire	28	cʼay	cʼay	cʼay	125
608	Koshan_Aghul	fire	28	cʼa ~ cʼay	cʼa ~ cʼay	cʼa ~ cʼay	125
609	Keren_Aghul	fire	28	cʼa	cʼa	cʼa	125
610	Gequn_Aghul	fire	28	cʼa ~ cʼay	cʼa ~ cʼay	cʼa ~ cʼay	125
611	Fite_Aghul	fire	28	cʼay	cʼay	cʼay	125
612	Aghul_proper	fire	28	cʼa ~ cʼay	cʼa ~ cʼay	cʼa ~ cʼay	125
613	Northern_Tabasaran	fire	28	cʼa	cʼa	cʼa	125
614	Southern_Tabasaran	fire	28	cʼa	cʼa	cʼa	125
615	Gyune_Lezgi	fire	28	cʼay	cʼay	cʼay	125
616	Outgroup_Chechen	fire	28	cʼe {цIе}	цIе	cʼe	125
#
617	Nidzh_Udi	fish	29	čäli {чаьли}	чаьли	čäli	126
618	Vartashen_Udi	fish	29	čäli {чаьли}	чаьли	čäli	126
619	Archi	fish	29	χˤˈabχi	χˤˈabχi	χˤˈabχi	127
620	Kryts_proper	fish	29	balɨʁ	balɨʁ	balɨʁ	-543
621	Alyk_Kryts	fish	29	baluʁ	baluʁ	baluʁ	-544
622	Budukh	fish	29	baluʁ {балугъ}	балугъ	baluʁ	-545
623	Mishlesh_Tsakhur	fish	29	baluʁ {балугъ}	балугъ	baluʁ	-546
624	Mikik_Tsakhur	fish	29	baluʁ	baluʁ	baluʁ	-547
625	Gelmets_Tsakhur	fish	29	baluʁ	baluʁ	baluʁ	-548
626	Mukhad_Rutul	fish	29	baluʁ {балугъ}	балугъ	baluʁ	-549
627	Ixrek_Rutul	fish	29	bäluʁ ~ baluʁ {баьлугъ ~ балугъ}	баьлугъ ~ балугъ	bäluʁ ~ baluʁ	-550
628	Luchek_Rutul	fish	29	baluʁ	baluʁ	baluʁ	-551
629	Koshan_Aghul	fish	29	baluʢ ~ baluʁ	baluʢ ~ baluʁ	baluʢ ~ baluʁ	-552
630	Keren_Aghul	fish	29	čʼekːʸ	čʼekːʸ	čʼekːʸ	128
631	Gequn_Aghul	fish	29	čʼekʼ	čʼekʼ	čʼekʼ	128
632	Fite_Aghul	fish	29	baluʁ	baluʁ	baluʁ	-553
633	Aghul_proper	fish	29	čʼekʼ	čʼekʼ	čʼekʼ	128
634	Northern_Tabasaran	fish	29	čˈičʼ-i	čˈičʼ-i	čˈičʼ-i	128
635	Southern_Tabasaran	fish	29	čičʼ	čičʼ	čičʼ	128
636	Gyune_Lezgi	fish	29	ʁed	ʁed	ʁed	129
637	Outgroup_Chechen	fish	29	čʼaːra {чIāра}	чIāра	čʼaːra	130
#
638	Nidzh_Udi	fly v.	30	pur-p-esun {пурпесун}	пурпесун	pur-p-esun	131
639	Vartashen_Udi	fly v.	30	pur-p-esun {пурпесун}	пурпесун	pur-p-esun	131
640	Archi	fly v.	30	pˈarχː-bo-	pˈarχː-bo-	pˈarχː-bo-	-554
641	Kryts_proper	fly v.	30	qː=alqʼon-	qː=alqʼon-	qː=alqʼon-	132
642	Alyk_Kryts	fly v.	30	qː=anqʼʷan-	qː=anqʼʷan-	qː=anqʼʷan-	132
643	Budukh	fly v.	30	učmi yɨxə-r-i {учми йыхьари ~ йихьари}	учми йыхьари ~ йихьари	učmi yɨxə-r-i	-555
644	Mishlesh_Tsakhur	fly v.	30	ilʸ=eχ- {алихас}	алихас	ilʸ=eχ-	133
645	Mikik_Tsakhur	fly v.	30	alʸ=iχ-	alʸ=iχ-	alʸ=iχ-	133
646	Gelmets_Tsakhur	fly v.	30	alʸ=eχʷ- {алехва}	алехва	alʸ=eχʷ-	133
647	Mukhad_Rutul	fly v.	30	l=äč- {лийчес}	лийчес	l=äč-	134
648	Ixrek_Rutul	fly v.	30	l=äš- {лаьйшин}	лаьйшин	l=äš-	134
649	Luchek_Rutul	fly v.	30	l=ač-	l=ač-	l=ač-	134
650	Koshan_Aghul	fly v.	30	al=t=waˤ-y-	al=t=waˤ-y-	al=t=waˤ-y-	135
651	Keren_Aghul	fly v.	30	zawulas=baˤ-	zawulas=baˤ-	zawulas=baˤ-	135
652	Aghul_proper	fly v.	30	hiš-a-	hiš-a-	hiš-a-	136
653	Northern_Tabasaran	fly v.	30	tʼi=ʔiχ-ˈ	tʼi=ʔiχ-ˈ	tʼi=ʔiχ-ˈ	133
654	Southern_Tabasaran	fly v.	30	tʼ=iχ-ˈ	tʼ=iχ-ˈ	tʼ=iχ-ˈ	133
655	Gyune_Lezgi	fly v.	30	luw ɣu-	luw ɣu-	luw ɣu-	137
656	Outgroup_Chechen	fly v.	30	leːl-a {лēла}	лēла	leːl-a	138
#
657	Nidzh_Udi	foot	31	tur {тур}	тур	tur	139
658	Vartashen_Udi	foot	31	tur {тур}	тур	tur	139
659	Archi	foot	31	aq	aq	aq	140
660	Kryts_proper	foot	31	qːil	qːil	qːil	141
661	Alyk_Kryts	foot	31	qːil	qːil	qːil	141
662	Budukh	foot	31	qːil {къил}	къил	qːil	141
663	Mishlesh_Tsakhur	foot	31	qːelʸ {къелʹ}	къелʹ	qːelʸ	141
664	Mikik_Tsakhur	foot	31	ʁelʸ	ʁelʸ	ʁelʸ	141
665	Gelmets_Tsakhur	foot	31	ʁelʸ	ʁelʸ	ʁelʸ	141
666	Mukhad_Rutul	foot	31	ʁil {гъил}	гъил	ʁil	141
667	Ixrek_Rutul	foot	31	ʁil {гъил}	гъил	ʁil	141
668	Luchek_Rutul	foot	31	ʁil	ʁil	ʁil	141
669	Koshan_Aghul	foot	31	lek	lek	lek	142
670	Keren_Aghul	foot	31	lak	lak	lak	142
671	Gequn_Aghul	foot	31	lek	lek	lek	142
672	Fite_Aghul	foot	31	lik	lik	lik	142
673	Aghul_proper	foot	31	läk ~ lek	läk ~ lek	läk ~ lek	142
674	Northern_Tabasaran	foot	31	lik	lik	lik	142
675	Southern_Tabasaran	foot	31	lik	lik	lik	142
676	Gyune_Lezgi	foot	31	kʼʷač	kʼʷač	kʼʷač	143
677	Outgroup_Chechen	foot	31	kog {ког}	ког	kog	144
#
678	Nidzh_Udi	full	32	b=uy {буй}	буй	b=uy	145
679	Vartashen_Udi	full	32	b=uy {буй}	буй	b=uy	145
680	Archi	full	32	ˈaːcʼu-tːu-class	ˈaːcʼu-tːu-class	ˈaːcʼu-tːu-class	145
681	Kryts_proper	full	32	ʕacʼä-	ʕacʼä-	ʕacʼä-	145
682	Alyk_Kryts	full	32	ʕacʼa	ʕacʼa	ʕacʼa	145
683	Budukh	full	32	s=əcʼə {сацIа}	сацIа	s=əcʼə	145
684	Mishlesh_Tsakhur	full	32	gʸ=acʼʸiː-n {гяцIийн}	гяцIийн	gʸ=acʼʸiː-n	145
685	Mikik_Tsakhur	full	32	gʸ=acʼʸiː-n	gʸ=acʼʸiː-n	gʸ=acʼʸiː-n	145
686	Gelmets_Tsakhur	full	32	gʸ=äcʼʸiyi-nʸ	gʸ=äcʼʸiyi-nʸ	gʸ=äcʼʸiyi-nʸ	145
687	Mukhad_Rutul	full	32	acʼɨ-d {ацIыд}	ацIыд	acʼɨ-d	145
688	Ixrek_Rutul	full	32	l=ecʼi-d {лецIид}	лецIид	l=ecʼi-d	145
689	Luchek_Rutul	full	32	acʼɨ-d	acʼɨ-d	acʼɨ-d	145
690	Koshan_Aghul	full	32	ʔ=acʼi-r ~ acʼa-r	ʔ=acʼi-r ~ acʼa-r	ʔ=acʼi-r ~ acʼa-r	145
691	Gequn_Aghul	full	32	acʼu-f	acʼu-f	acʼu-f	145
692	Fite_Aghul	full	32	acʼu-t	acʼu-t	acʼu-t	145
693	Aghul_proper	full	32	ʔ=acʼu-f ~ acʼu-f	ʔ=acʼu-f ~ acʼu-f	ʔ=acʼu-f ~ acʼu-f	145
694	Southern_Tabasaran	full	32	ˈacʼu {ацIу}	ацIу	ˈacʼu	145
695	Gyune_Lezgi	full	32	acʼˈa-	acʼˈa-	acʼˈa-	145
696	Outgroup_Chechen	full	32	d=üz-na ~ d=üzz-ina {дуьзна ~ дуьззина}	дуьзна ~ дуьззина	d=üz-na ~ d=üzz-ina	145
#
697	Nidzh_Udi	give	33	tad- {тад- ~ тастIун}	тад- ~ тастIун	tad-	146
698	Vartashen_Udi	give	33	tad- {тад- ~ тастIун}	тад- ~ тастIун	tad-	146
699	Archi	give	33	=ƛo-	=ƛo-	=ƛo-	146
700	Kryts_proper	give	33	v=ucʼn-	v=ucʼn-	v=ucʼn-	147
701	Alyk_Kryts	give	33	v=ucʼ-	v=ucʼ-	v=ucʼ-	147
702	Budukh	give	33	yucʼu- {йуцIу-}	йуцIу-	yucʼu-	147
703	Mishlesh_Tsakhur	give	33	h=el- {гьилес, гьеле}	гьилес, гьеле	h=el-	146
704	Mikik_Tsakhur	give	33	h=el-	h=el-	h=el-	146
705	Gelmets_Tsakhur	give	33	h=il- {гьилез}	гьилез	h=il-	146
706	Mukhad_Rutul	give	33	class=w=ɨcʼ- {выс}	выс	class=w=ɨcʼ-	147
707	Ixrek_Rutul	give	33	class=ɨcʼ- {вын}	вын	class=ɨcʼ-	147
708	Luchek_Rutul	give	33	class=w=ɨcʼ-	class=w=ɨcʼ-	class=w=ɨcʼ-	147
709	Koshan_Aghul	give	33	icʼ-an-di-	icʼ-an-di-	icʼ-an-di-	147
710	Keren_Aghul	give	33	i-ne	i-ne	i-ne	146
711	Gequn_Aghul	give	33	icʼ-an-di	icʼ-an-di	icʼ-an-di	147
712	Fite_Aghul	give	33	icʼ-ada	icʼ-ada	icʼ-ada	147
713	Aghul_proper	give	33	icʼ-an-di-	icʼ-an-di-	icʼ-an-di-	147
714	Northern_Tabasaran	give	33	l=icʼ-ˈ	l=icʼ-ˈ	l=icʼ-ˈ	147
715	Southern_Tabasaran	give	33	tː=ˈuw- ~ t=ˈuw-	tː=ˈuw- ~ t=ˈuw-	tː=ˈuw- ~ t=ˈuw-	146
716	Gyune_Lezgi	give	33	ɣu-	ɣu-	ɣu-	146
717	Outgroup_Chechen	give	33	d=al-a {дала}	дала	d=al-a	146
718	Kryts_proper	give	33	vu-	vu-	vu-	146
719	Alyk_Kryts	give	33	vu-	vu-	vu-	146
720	Budukh	give	33	yɨvə- {йыва-}	йыва-	yɨvə-	146
721	Mishlesh_Tsakhur	give	33	h=iw-	h=iw-	h=iw-	146
722	Mikik_Tsakhur	give	33	h=uw-	h=uw-	h=uw-	146
723	Mukhad_Rutul	give	33	class=w-ɨ-r	class=w-ɨ-r	class=w-ɨ-r	146
724	Ixrek_Rutul	give	33	class=w-ɨ-r	class=w-ɨ-r	class=w-ɨ-r	146
725	Luchek_Rutul	give	33	class=w-ɨ-r	class=w-ɨ-r	class=w-ɨ-r	146
726	Koshan_Aghul	give	33	i-na-w	i-na-w	i-na-w	146
727	Gequn_Aghul	give	33	i-na	i-na	i-na	146
728	Fite_Aghul	give	33	i-na	i-na	i-na	146
729	Aghul_proper	give	33	i-na ~ yi-ne	i-na ~ yi-ne	i-na ~ yi-ne	146
730	Northern_Tabasaran	give	33	d=ˈuɣ-	d=ˈuɣ-	d=ˈuɣ-	146
731	Northern_Tabasaran	give	33	du=ʔˈuw-	du=ʔˈuw-	du=ʔˈuw-	146
#
732	Nidzh_Udi	good	34	šahatː ~ šaʁatː ~ šavatː ~ šaːtː {шагьатI ~ шагъатI ~ шаватI ~ шаатI}	шагьатI ~ шагъатI ~ шаватI ~ шаатI	šahatː ~ šaʁatː ~ šavatː ~ šaːtː	148
733	Vartashen_Udi	good	34	šel {шел}	шел	šel	149
734	Archi	good	34	hibˈa-tːu-class	hibˈa-tːu-class	hibˈa-tːu-class	150
735	Kryts_proper	good	34	ʁalä	ʁalä	ʁalä	151
736	Alyk_Kryts	good	34	ɣala	ɣala	ɣala	151
737	Budukh	good	34	ʕari {гIари}	гIари	ʕari	152
738	Mishlesh_Tsakhur	good	34	yugu-n {югун}	югун	yugu-n	153
739	Mikik_Tsakhur	good	34	yugu-n	yugu-n	yugu-n	153
740	Gelmets_Tsakhur	good	34	yugu-nʸ {югунʹ}	югунʹ	yugu-nʸ	153
741	Mukhad_Rutul	good	34	y=ɨχ-dɨ {йыхды}	йыхды	y=ɨχ-dɨ	154
742	Ixrek_Rutul	good	34	h=ɨχ-dɨ {гьыхды}	гьыхды	h=ɨχ-dɨ	154
743	Koshan_Aghul	good	34	iǯe-r	iǯe-r	iǯe-r	155
744	Keren_Aghul	good	34	iže-f	iže-f	iže-f	155
745	Gequn_Aghul	good	34	iže-f ~ iǯe-f	iže-f ~ iǯe-f	iže-f ~ iǯe-f	155
746	Fite_Aghul	good	34	iǯi-t	iǯi-t	iǯi-t	155
747	Aghul_proper	good	34	iǯe-f	iǯe-f	iǯe-f	155
748	Northern_Tabasaran	good	34	iǯˈi	iǯˈi	iǯˈi	155
749	Southern_Tabasaran	good	34	uǯˈu {ужжу}	ужжу	uǯˈu	155
750	Gyune_Lezgi	good	34	qisˈe-n	qisˈe-n	qisˈe-n	156
751	Outgroup_Chechen	good	34	dik-a {дика}	дика	dik-a	153
#
752	Nidzh_Udi	green	35	yäšil {йаьшил}	йаьшил	yäšil	-556
753	Vartashen_Udi	green	35	gog-in	gog-in	gog-in	-557
754	Archi	green	35	oˤlˈow-tːu-class	oˤlˈow-tːu-class	oˤlˈow-tːu-class	157
755	Kryts_proper	green	35	čʼukʼ-ni	čʼukʼ-ni	čʼukʼ-ni	158
756	Alyk_Kryts	green	35	čʼuk-nu	čʼuk-nu	čʼuk-nu	158
757	Budukh	green	35	gug {гуг}	гуг	gug	-558
758	Mishlesh_Tsakhur	green	35	čɨˤwa-n {чыIван}	чыIван	čɨˤwa-n	159
759	Mikik_Tsakhur	green	35	čiˤwa-n ~ čuˤwa-n	čiˤwa-n ~ čuˤwa-n	čiˤwa-n ~ čuˤwa-n	159
760	Gelmets_Tsakhur	green	35	čiˤwa-nʸ	čiˤwa-nʸ	čiˤwa-nʸ	159
761	Mukhad_Rutul	green	35	šil-dɨ {шилды}	шилды	šil-dɨ	159
762	Ixrek_Rutul	green	35	šil-dɨ {шилды}	шилды	šil-dɨ	159
763	Luchek_Rutul	green	35	šil-dɨ	šil-dɨ	šil-dɨ	159
764	Koshan_Aghul	green	35	ʢaze-r	ʢaze-r	ʢaze-r	160
765	Keren_Aghul	green	35	ʁaze-f	ʁaze-f	ʁaze-f	160
766	Gequn_Aghul	green	35	ʁaze-f	ʁaze-f	ʁaze-f	160
767	Fite_Aghul	green	35	ʁazi-t	ʁazi-t	ʁazi-t	160
768	Aghul_proper	green	35	ʁaze-f	ʁaze-f	ʁaze-f	160
769	Northern_Tabasaran	green	35	čirˈi	čirˈi	čirˈi	161
770	Southern_Tabasaran	green	35	čru	čru	čru	161
771	Gyune_Lezgi	green	35	qːacːˈu	qːacːˈu	qːacːˈu	160
772	Outgroup_Chechen	green	35	bäcca-r-a {баьццара}	баьццара	bäcca-r-a	162
#
773	Nidzh_Udi	hair	36	pop {поп}	поп	pop	163
774	Vartashen_Udi	hair	36	pop {поп}	поп	pop	163
775	Archi	hair	36	čʼˈaːˤri	čʼˈaːˤri	čʼˈaːˤri	164
776	Kryts_proper	hair	36	čʼer	čʼer	čʼer	164
777	Alyk_Kryts	hair	36	čʼar	čʼar	čʼar	164
778	Budukh	hair	36	čʼer {чIер}	чIер	čʼer	164
779	Mishlesh_Tsakhur	hair	36	čʼaˤr {чIаIр}	чIаIр	čʼaˤr	164
780	Mikik_Tsakhur	hair	36	čʼer	čʼer	čʼer	164
781	Gelmets_Tsakhur	hair	36	čʼar	čʼar	čʼar	164
782	Mukhad_Rutul	hair	36	čʼar {чIар}	чIар	čʼar	164
783	Ixrek_Rutul	hair	36	čʼer ~ čʼär {чIер ~ чIаьр}	чIер ~ чIаьр	čʼer ~ čʼär	164
784	Luchek_Rutul	hair	36	čʼar	čʼar	čʼar	164
785	Koshan_Aghul	hair	36	čʼar	čʼar	čʼar	164
786	Keren_Aghul	hair	36	čʼar	čʼar	čʼar	164
787	Gequn_Aghul	hair	36	čʼar	čʼar	čʼar	164
788	Fite_Aghul	hair	36	čʼar	čʼar	čʼar	164
789	Aghul_proper	hair	36	čʼar	čʼar	čʼar	164
790	Northern_Tabasaran	hair	36	čʼar	čʼar	čʼar	164
791	Southern_Tabasaran	hair	36	čʼar	čʼar	čʼar	164
792	Gyune_Lezgi	hair	36	čʼar	čʼar	čʼar	164
793	Outgroup_Chechen	hair	36	mas {мас}	мас	mas	165
#
794	Nidzh_Udi	hand	37	kul {кул}	кул	kul	166
795	Vartashen_Udi	hand	37	kul {кул}	кул	kul	166
796	Archi	hand	37	kul	kul	kul	166
797	Kryts_proper	hand	37	χäb	χäb	χäb	167
798	Alyk_Kryts	hand	37	χab	χab	χab	167
799	Budukh	hand	37	χab {хаб}	хаб	χab	167
800	Mishlesh_Tsakhur	hand	37	χɨlʸ {хылʹ}	хылʹ	χɨlʸ	168
801	Mikik_Tsakhur	hand	37	χɨlʸ	χɨlʸ	χɨlʸ	168
802	Gelmets_Tsakhur	hand	37	χɨlʸ	χɨlʸ	χɨlʸ	168
803	Mukhad_Rutul	hand	37	χɨl {хыл}	хыл	χɨl	168
804	Ixrek_Rutul	hand	37	χɨl {хыл}	хыл	χɨl	168
805	Luchek_Rutul	hand	37	χɨl	χɨl	χɨl	168
806	Koshan_Aghul	hand	37	χil	χil	χil	168
807	Keren_Aghul	hand	37	χil	χil	χil	168
808	Gequn_Aghul	hand	37	χil	χil	χil	168
809	Fite_Aghul	hand	37	χil	χil	χil	168
810	Aghul_proper	hand	37	ʁil	ʁil	ʁil	168
811	Northern_Tabasaran	hand	37	χil	χil	χil	168
812	Southern_Tabasaran	hand	37	χil	χil	χil	168
813	Gyune_Lezgi	hand	37	ʁil	ʁil	ʁil	168
814	Outgroup_Chechen	hand	37	kü-g {куьг}	куьг	kü-g	166
#
815	Nidzh_Udi	head	38	bul {бул}	бул	bul	169
816	Vartashen_Udi	head	38	bul {бул}	бул	bul	169
817	Archi	head	38	kˈartʼi	kˈartʼi	kˈartʼi	170
818	Kryts_proper	head	38	qʼɨl	qʼɨl	qʼɨl	169
819	Alyk_Kryts	head	38	qʼil	qʼil	qʼil	169
820	Budukh	head	38	qʼɨl {кьыл}	кьыл	qʼɨl	169
821	Mishlesh_Tsakhur	head	38	kalːʸe {калле}	калле	kalːʸe	-559
822	Mikik_Tsakhur	head	38	wukʼulʸ	wukʼulʸ	wukʼulʸ	169
823	Gelmets_Tsakhur	head	38	wuqʼulʸ	wuqʼulʸ	wuqʼulʸ	169
824	Mukhad_Rutul	head	38	qʼul {кьул}	кьул	qʼul	169
825	Ixrek_Rutul	head	38	huqʼul {гьукьул}	гьукьул	huqʼul	169
826	Luchek_Rutul	head	38	huqʼul	huqʼul	huqʼul	169
827	Koshan_Aghul	head	38	kʼil	kʼil	kʼil	169
828	Keren_Aghul	head	38	kʼil	kʼil	kʼil	169
829	Gequn_Aghul	head	38	kʼil	kʼil	kʼil	169
830	Fite_Aghul	head	38	kʼil	kʼil	kʼil	169
831	Aghul_proper	head	38	kʼil	kʼil	kʼil	169
832	Northern_Tabasaran	head	38	kʼul	kʼul	kʼul	169
833	Southern_Tabasaran	head	38	kʼul	kʼul	kʼul	169
834	Gyune_Lezgi	head	38	qʼil	qʼil	qʼil	169
835	Outgroup_Chechen	head	38	korta {корта}	корта	korta	170
#
836	Nidzh_Udi	hear	39	i-bak-sun {ибаксун}	ибаксун	i-bak-sun	171
837	Vartashen_Udi	hear	39	i-bak-sun {ибаксун}	ибаксун	i-bak-sun	171
838	Archi	hear	39	=kˈo-	=kˈo-	=kˈo-	172
839	Kryts_proper	hear	39	ix-	ix-	ix-	171
840	Alyk_Kryts	hear	39	ixa-	ixa-	ixa-	171
841	Budukh	hear	39	ixi- {ихьи-}	ихьи-	ixi-	171
842	Mishlesh_Tsakhur	hear	39	qː=iːx- {къайхьый}	къайхьый	qː=iːx-	171
843	Mikik_Tsakhur	hear	39	ʁ=iyx-	ʁ=iyx-	ʁ=iyx-	171
844	Gelmets_Tsakhur	hear	39	ʁ=iyx-	ʁ=iyx-	ʁ=iyx-	171
845	Mukhad_Rutul	hear	39	un y=ik- {ун йикис}	ун йикис	un y=ik-	173
846	Ixrek_Rutul	hear	39	un y=ɨχˤ- {ун йыIхыIн}	ун йыIхыIн	un y=ɨχˤ-	173
847	Luchek_Rutul	hear	39	un ečʼʷ-	un ečʼʷ-	un ečʼʷ-	173
848	Koshan_Aghul	hear	39	daχ xi-	daχ xi-	daχ xi-	174
849	Keren_Aghul	hear	39	un xa-	un xa-	un xa-	173
850	Gequn_Aghul	hear	39	un-i xa-	un-i xa-	un-i xa-	173
851	Aghul_proper	hear	39	un xa- ~ un-i xa-	un xa- ~ un-i xa-	un xa- ~ un-i xa-	173
852	Northern_Tabasaran	hear	39	yik-ˈ	yik-ˈ	yik-ˈ	172
853	Southern_Tabasaran	hear	39	yex-ˈ	yex-ˈ	yex-ˈ	171
854	Gyune_Lezgi	hear	39	wan že-	wan že-	wan že-	173
855	Outgroup_Chechen	hear	39	xaz-a {хаза}	хаза	xaz-a	175
#
856	Nidzh_Udi	heart	40	ukː ~ ükː {укI ~ уькI}	укI ~ уькI	ukː ~ ükː	176
857	Vartashen_Udi	heart	40	ukː {укI}	укI	ukː	176
858	Archi	heart	40	ikʼʷ	ikʼʷ	ikʼʷ	176
859	Kryts_proper	heart	40	yikʼ	yikʼ	yikʼ	176
860	Alyk_Kryts	heart	40	yikʼ	yikʼ	yikʼ	176
861	Budukh	heart	40	yɨkʼ {йыкI}	йыкI	yɨkʼ	176
862	Mishlesh_Tsakhur	heart	40	yikʼ {йикI}	йикI	yikʼ	176
863	Mikik_Tsakhur	heart	40	yikʼʸ	yikʼʸ	yikʼʸ	176
864	Gelmets_Tsakhur	heart	40	yikʼʸ	yikʼʸ	yikʼʸ	176
865	Mukhad_Rutul	heart	40	yikʼ {йикI}	йикI	yikʼ	176
866	Ixrek_Rutul	heart	40	yikʼ {йикI}	йикI	yikʼ	176
867	Luchek_Rutul	heart	40	yikʼʸ	yikʼʸ	yikʼʸ	176
868	Koshan_Aghul	heart	40	yirkʼʷ	yirkʼʷ	yirkʼʷ	176
869	Keren_Aghul	heart	40	irkʼʷ	irkʼʷ	irkʼʷ	176
870	Gequn_Aghul	heart	40	irkʼʷ	irkʼʷ	irkʼʷ	176
871	Fite_Aghul	heart	40	yirkʼʷ	yirkʼʷ	yirkʼʷ	176
872	Aghul_proper	heart	40	yirkʼʷ	yirkʼʷ	yirkʼʷ	176
873	Northern_Tabasaran	heart	40	yˈukʼ-u	yˈukʼ-u	yˈukʼ-u	176
874	Southern_Tabasaran	heart	40	yukʼ	yukʼ	yukʼ	176
875	Gyune_Lezgi	heart	40	rikʼ	rikʼ	rikʼ	176
876	Outgroup_Chechen	heart	40	dog {дог}	дог	dog	176
#
2252	Nidzh_Udi	heavy	102	biʁˤi ~ biˤhi ~ bɨʁˤɨ {биъгъиъ ~ биъгьиъ ~ быъгъыъ}	биъгъиъ ~ биъгьиъ ~ быъгъыъ	biʁˤi ~ biˤhi ~ bɨʁˤɨ	448
2253	Vartashen_Udi	heavy	102	biˤ ~ bɨˤ {биъ ~ быъ}	биъ ~ быъ	biˤ ~ bɨˤ	448
2254	Archi	heavy	102	class=ˈiʁʷˤ-du-class ~ class=ˈiʁˤ-du-class	class=ˈiʁʷˤ-du-class ~ class=ˈiʁˤ-du-class	class=ˈiʁʷˤ-du-class ~ class=ˈiʁˤ-du-class	448
2255	Kryts_proper	heavy	102	ʕakʼ	ʕakʼ	ʕakʼ	448
2256	Alyk_Kryts	heavy	102	ʕarkʼa	ʕarkʼa	ʕarkʼa	448
2257	Budukh	heavy	102	herkʼi {гьеркIи}	гьеркIи	herkʼi	448
2258	Mishlesh_Tsakhur	heavy	102	yiqʼˤɨ-n {йиIкьын, йыIкьын}	йиIкьын, йыIкьын	yiqʼˤɨ-n	448
2259	Mikik_Tsakhur	heavy	102	yɨqʼˤɨ-n	yɨqʼˤɨ-n	yɨqʼˤɨ-n	448
2260	Gelmets_Tsakhur	heavy	102	yɨqʼˤɨ-nʸ	yɨqʼˤɨ-nʸ	yɨqʼˤɨ-nʸ	448
2261	Mukhad_Rutul	heavy	102	yuqʼˤ-dɨ {юкьIды}	юкьIды	yuqʼˤ-dɨ	448
2262	Ixrek_Rutul	heavy	102	yuqʼˤ-dɨ {йуIкьды}	йуIкьды	yuqʼˤ-dɨ	448
2263	Luchek_Rutul	heavy	102	yuqʼˤ-dɨ	yuqʼˤ-dɨ	yuqʼˤ-dɨ	448
2264	Koshan_Aghul	heavy	102	ʁeʁe-r	ʁeʁe-r	ʁeʁe-r	449
2265	Keren_Aghul	heavy	102	yarqʼʷˤe-f	yarqʼʷˤe-f	yarqʼʷˤe-f	448
2266	Gequn_Aghul	heavy	102	ʡürʡä-f	ʡürʡä-f	ʡürʡä-f	448
2267	Fite_Aghul	heavy	102	qːaqːi-t	qːaqːi-t	qːaqːi-t	449
2268	Aghul_proper	heavy	102	qːeqːe-f ~ qːiqːe-f	qːeqːe-f ~ qːiqːe-f	qːeqːe-f ~ qːiqːe-f	449
2269	Northern_Tabasaran	heavy	102	aqʼˤˈi	aqʼˤˈi	aqʼˤˈi	448
2270	Southern_Tabasaran	heavy	102	ʁaʁˈi	ʁaʁˈi	ʁaʁˈi	449
2271	Gyune_Lezgi	heavy	102	zalˈan	zalˈan	zalˈan	450
2272	Outgroup_Chechen	heavy	102	d=ez-a {деза}	деза	d=ez-a	451
2273	Gequn_Aghul	heavy	102	qːeqːe-f	qːeqːe-f	qːeqːe-f	449
2274	Northern_Tabasaran	heavy	102	ɢaɢˈi	ɢaɢˈi	ɢaɢˈi	449
#
877	Nidzh_Udi	horn	41	muqːˤa {муъкъаъ}	муъкъаъ	muqːˤa	177
878	Vartashen_Udi	horn	41	muqːˤa	muqːˤa	muqːˤa	177
879	Archi	horn	41	bˈatː-	bˈatː-	bˈatː-	179
880	Kryts_proper	horn	41	käč	käč	käč	180
881	Alyk_Kryts	horn	41	karč	karč	karč	180
882	Budukh	horn	41	kərč {карч}	карч	kərč	180
883	Mishlesh_Tsakhur	horn	41	gač {гач}	гач	gač	180
884	Mikik_Tsakhur	horn	41	gač	gač	gač	180
885	Gelmets_Tsakhur	horn	41	gač	gač	gač	180
886	Mukhad_Rutul	horn	41	kač {кач}	кач	kač	180
887	Ixrek_Rutul	horn	41	kač {кач}	кач	kač	180
888	Luchek_Rutul	horn	41	kač	kač	kač	180
889	Koshan_Aghul	horn	41	kʼarč	kʼarč	kʼarč	180
890	Keren_Aghul	horn	41	kʼarč	kʼarč	kʼarč	180
891	Gequn_Aghul	horn	41	kʼarč	kʼarč	kʼarč	180
892	Fite_Aghul	horn	41	kʼarč	kʼarč	kʼarč	180
